fid,PA_rast,bat_reclas,mlotst_08,mlotst_07,mlotst_06,mlotst_05,mlotst_04,mlotst_03,chlor_0108,chlor_0107,chlor_0106,chlor_0105,chlor_0104,chlor_0103,sst_0108,sst_0107,sst_0106,sst_0105,sst_0104,sst_0103,Long,Lat
"133",0,-1439,13.12296,10.52889,10.52889,10.98666,24.26222,43.64147,0.36222,0.42328,,,,,275.31821,273.89041,,,,,-24.458515,67.708365
"134",0,-1421,13.12296,10.52889,10.52889,10.68148,22.88888,44.55703,0.38341,0.50745,,,,,275.33932,273.87305,,,,,-24.375185,67.708365
"135",0,-1214,12.05481,10.52889,10.52889,10.52889,20.14222,45.47258,0.36074,0.45093,,,,,275.95035,273.6983,,,,,-23.958535,67.708365
"136",0,-997,11.74963,10.52889,10.52889,10.52889,19.07407,16.3274,0.46091,0.60473,,,,,277.26501,275.84583,,,,,-23.625215,67.708365
"137",0,-803,11.90222,10.98666,10.52889,10.98666,11.13926,142.21626,0.90165,0.33048,0.88261,0.54671,0.34111,,279.20111,279.20056,276.76233,275.0574,,274.15308,-21.291975,67.708365
"138",0,-801,11.74963,10.98666,10.68148,10.68148,11.29185,135.04442,1.0522,0.34271,0.8958,0.73437,0.34395,,279.10089,279.28351,277.00229,275.13943,,274.33911,-21.125315,67.708365
"139",1,-772,11.59703,10.98666,10.98666,10.83407,11.44444,135.19701,1.06093,0.34858,0.78202,0.79809,0.26497,,279.09567,279.34076,277.00363,275.08603,,274.39053,-21.041985,67.708365
"140",0,-552,11.29185,11.29185,13.73333,15.71703,43.48888,137.02811,0.89471,0.34349,0.45737,1.2611,0.20846,0.25519,279.8446,279.63947,276.93503,275.48798,274.56854,274.39886,-18.958735,67.708365
"141",1,-1067,11.74963,10.98666,12.51259,14.95407,57.06961,108.49331,0.45127,0.46727,0.62967,0.2544,0.25831,0.201,279.20792,278.13861,275.47162,274.31229,274.12189,273.91342,-17.875445,67.708365
"142",0,-1014,11.59703,10.98666,14.95407,20.75259,131.99255,155.64441,0.5903,0.52236,0.66587,0.29894,0.27969,0.32881,279.73227,278.47104,275.27853,274.1572,274.12662,274.17697,-16.792155,67.708365
"143",0,-927,11.44444,10.68148,13.73333,24.87259,113.22368,134.43404,0.58474,0.41104,0.67584,0.33549,0.26225,0.25969,280.22485,278.96558,275.61935,274.4241,273.81787,274.72787,-15.958855,67.708365
"144",0,-987,11.90222,10.98666,16.48,32.95999,62.71554,98.57479,0.38214,0.27187,0.45054,0.32382,0.25079,0.23223,279.86017,278.77942,275.19931,274.09244,273.63919,273.75372,-15.042225,67.708365
"145",0,-1610,12.05481,10.83407,15.25926,26.7037,112.46072,119.17478,0.40329,0.21537,0.29882,0.76888,0.37423,0.31889,279.85831,278.44958,275.27634,273.46054,272.64682,272.56491,-13.458955,67.708365
"146",0,-1580,12.05481,10.68148,14.95407,25.78814,116.42812,126.19405,0.38731,0.24482,0.27078,0.81646,0.37323,0.31,279.87622,278.50803,275.32733,273.50681,272.64883,272.58615,-13.375625,67.708365
"147",0,-1586,12.2074,10.68148,14.80148,24.87259,119.02219,131.38219,0.36079,0.34796,0.26848,0.86281,0.38717,0.32072,279.89548,278.59387,275.37457,273.54648,272.64734,272.6113,-13.292295,67.708365
"148",1,-1617,12.2074,10.68148,14.49629,24.41481,119.47997,133.2133,0.36787,0.54707,0.2746,0.89957,0.37762,0.33771,279.91687,278.70172,275.42462,273.58191,272.64243,272.63748,-13.208965,67.708365
"149",0,-1790,12.51259,10.83407,14.03852,25.33036,151.677,168.61478,0.40378,0.65415,0.27438,0.83447,0.34921,0.31206,280.15765,279.40405,275.7305,273.69055,272.61349,272.76859,-12.542325,67.708365
"150",0,-1763,13.12296,10.83407,13.12296,47.1511,268.86807,326.0903,0.4438,0.54144,0.27356,0.70555,0.301,0.25901,280.78381,279.76453,276.34946,273.8743,273.01709,273.14969,-10.125755,67.708365
"151",0,-1767,13.12296,10.83407,13.27555,50.35554,270.85178,324.71695,0.44248,0.52377,0.29778,0.71845,0.30006,0.27594,280.81982,279.78915,276.36874,273.88858,273.03311,273.17111,-10.042425,67.708365
"152",0,-1405,12.81777,10.68148,13.58074,45.31999,196.6918,193.02959,0.49778,1.20063,0.28983,0.51851,0.31372,0.24898,280.89697,279.78226,276.61456,273.99274,273.08044,273.29819,-9.375785,67.708365
"153",0,-1481,12.81777,10.68148,13.58074,42.42073,189.06218,182.65329,0.59169,1.50927,0.27981,0.51881,0.28037,0.25368,280.89087,279.784,276.64801,274.01144,273.10114,273.30539,-9.292455,67.708365
"154",0,-1575,12.66518,10.68148,13.58074,40.43703,175.78662,176.2444,0.60195,1.44027,0.27659,0.50792,0.29501,0.25323,280.88028,279.78741,276.66544,274.03061,273.12173,273.3093,-9.209125,67.708365
"155",0,-408,13.12296,10.52889,10.52889,11.90222,31.58666,32.8074,0.31216,0.41879,,,,,275.39893,274.51526,,,,,-25.958455,67.625035
"156",0,-1214,12.66518,10.52889,10.52889,10.52889,21.05777,49.2874,0.37584,0.40553,,,,,275.70758,273.39719,,,,,-24.291855,67.625035
"157",0,-1175,12.66518,10.52889,10.52889,10.52889,20.4474,40.89481,0.36274,0.34932,,,,,275.82361,273.50894,,,,,-24.208525,67.625035
"158",0,-1183,12.51259,10.52889,10.52889,10.52889,19.98962,32.65481,0.357,0.35334,,,0.26976,,275.99466,273.668,,,,,-24.125195,67.625035
"159",0,-1124,12.2074,10.52889,10.52889,10.52889,19.53185,26.24592,0.39811,0.39211,,,0.24777,,276.2204,273.95435,,,,,-24.041865,67.625035
"160",0,-955,12.2074,10.52889,10.52889,10.52889,17.54814,15.10666,0.48146,0.37153,0.37554,0.39676,0.21237,,277.48752,276.66049,,,,,-23.708545,67.625035
"161",0,-907,12.51259,10.68148,10.52889,10.52889,16.93777,14.80148,0.63524,0.35961,0.35313,0.40765,0.14666,,277.72784,277.44998,,,,,-23.625215,67.625035
"162",0,-621,11.74963,11.13926,10.52889,11.59703,13.42814,36.77481,0.75895,0.34518,0.63621,1.19613,0.25042,,279.20297,278.80142,277.03555,275.84796,,275.26215,-22.375265,67.625035
"163",0,-623,11.74963,11.13926,10.68148,11.13926,13.27555,54.47554,0.7809,0.35597,0.54615,1.11757,0.24862,,279.2399,278.85526,277.01743,275.78821,,275.30762,-22.291935,67.625035
"164",0,-618,11.74963,11.13926,10.68148,10.83407,13.27555,75.22813,0.74557,0.35794,1.691,1.3711,0.25078,,279.25006,278.90924,276.92841,275.80212,,275.41943,-22.208605,67.625035
"165",0,-617,11.59703,10.98666,10.68148,10.83407,13.27555,99.79553,0.7769,0.35533,1.32718,1.36372,0.24351,,279.23758,278.96469,276.8916,275.98441,,275.50064,-22.125275,67.625035
"166",0,-745,12.05481,10.98666,11.29185,13.27555,11.29185,132.45033,0.932,0.29783,0.76906,1.01446,0.22796,,279.2117,279.30994,276.41077,274.43225,,274.39621,-21.291975,67.625035
"167",0,-747,12.05481,10.98666,11.29185,13.27555,11.59703,134.12886,0.88811,0.29334,0.63735,1.0822,0.23193,,279.19098,279.34241,276.55392,274.50104,,274.39291,-21.208645,67.625035
"168",0,-424,11.59703,11.74963,12.51259,16.17481,89.57183,176.39699,0.99575,0.37311,0.35737,1.31533,0.23539,0.23992,280.12308,279.91461,277.44833,276.20328,274.85944,274.80228,-18.958735,67.625035
"169",1,-1030,11.74963,11.13926,13.27555,15.56444,69.73479,134.43404,0.52496,0.45406,0.68441,0.26105,0.24528,0.26791,279.25327,278.17603,275.78909,274.75195,274.43338,274.01028,-17.875445,67.625035
"170",0,-955,11.59703,10.98666,14.80148,20.90518,123.90515,139.46959,0.58818,0.48895,0.74357,0.28514,0.2658,0.25437,279.73999,278.39044,275.69086,274.33743,274.21146,274.32544,-16.792155,67.625035
"171",0,-883,11.29185,10.68148,14.19111,26.85629,129.2459,144.19997,0.61123,0.39071,0.7556,0.34201,0.2668,0.24963,280.40155,279.07819,276.20062,274.94971,273.90305,274.84579,-15.875525,67.625035
"172",0,-880,11.29185,10.68148,14.19111,27.31407,128.02515,137.79108,0.59715,0.34172,0.70815,0.35448,0.26496,0.25538,280.39572,279.01648,276.22324,274.99332,273.89621,274.7821,-15.792195,67.625035
"173",1,-1602,11.90222,10.68148,15.86963,26.85629,98.11701,99.94812,0.35397,0.19065,0.27862,0.55107,0.34334,0.3197,279.68314,278.34482,275.11935,273.42249,272.61716,272.67569,-13.708945,67.625035
"174",0,-1608,12.05481,10.68148,15.71703,25.94073,103.30516,109.40886,0.35186,0.19376,0.27943,0.5928,0.34132,0.29732,279.70306,278.38126,275.18338,273.43546,272.63162,272.65253,-13.625615,67.625035
"175",0,-1616,12.05481,10.68148,15.41185,24.87259,107.57775,117.95405,0.34257,0.21577,0.27365,0.72359,0.36218,0.29219,279.72812,278.43015,275.24521,273.45959,272.64212,272.64069,-13.542285,67.625035
"176",0,-1627,12.2074,10.68148,15.10666,23.80444,111.85034,128.48293,0.35732,0.24818,0.28008,0.82517,0.36832,0.29895,279.75891,278.48898,275.30167,273.48825,272.64911,272.63867,-13.458955,67.625035
"177",0,-1770,12.2074,10.68148,13.88592,24.71999,214.39253,214.85031,0.43562,0.73822,0.28717,0.84594,0.37968,0.29307,280.1868,279.35504,275.78018,273.69806,272.63351,272.80975,-12.458995,67.625035
"178",0,-1773,12.05481,10.68148,13.88592,24.87259,222.02217,223.85327,0.45286,0.724,0.29254,0.86539,0.39543,0.3018,280.21854,279.38931,275.82047,273.70129,272.64227,272.8219,-12.375665,67.625035
"179",0,-1867,12.51259,10.68148,13.73333,35.09629,164.64737,180.82217,0.63489,0.95958,0.28068,0.61664,0.28364,0.23855,280.81555,279.88269,276.70474,274.1239,273.15628,273.29651,-9.125795,67.625035
"180",0,-1827,12.36,10.68148,13.73333,34.02814,148.31996,175.48145,0.67033,1.4513,0.26716,0.59819,0.27135,0.21747,280.79474,279.91257,276.69226,274.13464,273.17639,273.31247,-9.042465,67.625035
"181",0,-1763,12.36,10.68148,13.73333,33.26518,131.07701,165.10515,0.59787,1.399,0.2715,0.51437,0.28061,0.22285,280.78052,279.94571,276.6799,274.14865,273.19482,273.33337,-8.959135,67.625035
"182",0,-427,13.42814,10.52889,10.52889,12.2074,23.80444,37.84295,0.36146,,,,,,275.4144,275.55795,,,,,-26.041785,67.541705
"183",0,-816,12.66518,10.98666,10.52889,11.29185,15.25926,12.97037,0.5493,0.3497,0.49852,0.54968,0.22858,0.18289,277.9957,278.04877,,,,,-23.708545,67.541705
"184",0,-562,10.98666,10.98666,10.68148,11.13926,14.49629,162.20589,0.8676,0.33583,0.61726,1.22801,0.2552,,279.15237,278.84464,276.42719,277.04358,,275.70074,-22.041945,67.541705
"185",0,-580,10.98666,10.83407,10.83407,11.74963,14.95407,168.00441,0.87806,0.33431,0.58315,1.25493,0.25431,,279.09235,278.8989,276.29831,277.22995,,275.76129,-21.958615,67.541705
"186",0,-592,10.98666,10.83407,10.98666,12.36,15.56444,171.81921,0.92112,0.33826,0.59894,1.28946,0.2536,,279.05383,278.9592,276.19794,277.19662,,275.66449,-21.875285,67.541705
"187",0,-655,11.59703,10.98666,12.51259,13.88592,13.42814,150.30367,0.86133,0.31372,0.56481,1.34028,0.26616,,279.12912,279.24588,276.41904,275.73462,,274.65588,-21.541965,67.541705
"188",0,-660,11.74963,11.13926,12.66518,13.88592,12.05481,131.68738,0.84295,0.32408,0.55297,1.2675,0.24634,,279.17645,279.31943,276.56061,275.35858,,274.42386,-21.458635,67.541705
"189",0,-665,11.74963,11.13926,12.66518,14.19111,11.59703,124.9733,0.82987,0.31313,0.46687,1.13137,0.24058,,279.20923,279.3782,276.69427,275.10803,,274.3096,-21.375305,67.541705
"190",0,-660,11.90222,10.98666,12.66518,14.3437,11.74963,123.59997,0.84641,0.3258,0.63413,1.08593,0.2467,,279.22556,279.42746,276.75699,275.04056,,274.32077,-21.291975,67.541705
"191",0,-410,11.90222,11.90222,12.66518,21.82074,106.66219,199.89624,0.81048,0.42516,0.3452,1.48797,0.22864,0.23467,280.2757,279.9588,277.677,276.28494,275.06491,275.28351,-18.958735,67.541705
"192",0,-1007,11.59703,11.13926,13.73333,15.25926,98.4222,155.03404,0.54383,0.48696,0.79629,0.4887,0.23946,0.23003,279.34024,278.24966,276.15823,275.0769,274.59985,274.12421,-17.875445,67.541705
"193",0,-887,11.44444,10.83407,14.19111,21.82074,114.90219,118.10664,0.61902,0.49185,0.92876,0.29677,0.25917,0.26207,279.83032,278.42581,276.16495,274.42126,274.30978,274.60632,-16.708825,67.541705
"194",0,-850,11.13926,10.83407,14.80148,25.94073,122.9896,148.16737,0.70674,0.47126,0.84771,0.34903,0.27164,0.2509,280.65582,279.37402,276.61099,275.22821,274.18411,275.02957,-15.875525,67.541705
"195",1,-804,11.13926,10.68148,14.80148,25.33036,119.93775,146.79404,0.67272,0.40228,0.91486,0.34232,0.26433,0.23849,280.66852,279.30914,276.66147,275.32068,274.11383,274.95535,-15.708865,67.541705
"196",1,-811,11.29185,10.68148,14.80148,25.33036,119.93775,141.3007,0.73682,0.40156,0.90152,0.34061,0.27347,0.24595,280.65527,279.27875,276.61609,275.3447,274.07642,274.91199,-15.625535,67.541705
"197",0,-1572,11.74963,10.68148,14.95407,25.17777,75.07554,77.8222,0.33037,0.21947,0.34683,0.44271,0.34199,0.29673,279.75909,278.4736,275.16483,273.59531,272.75363,273.11441,-14.042265,67.541705
"198",1,-1620,11.74963,10.68148,15.10666,25.02518,75.8385,81.17924,0.332,0.20255,0.3262,0.48501,0.33907,0.29853,279.68893,278.39606,275.10461,273.55817,272.7012,273.02902,-13.958935,67.541705
"199",1,-1608,11.74963,10.68148,15.25926,24.87259,81.33183,83.77332,0.33299,0.19702,0.32792,0.5067,0.33207,0.30437,279.63101,278.36874,275.08792,273.53082,272.67661,272.95456,-13.875605,67.541705
"200",0,-1615,11.74963,10.68148,15.41185,24.5674,88.50368,86.67257,0.33952,0.2022,0.31927,0.52292,0.33501,0.29734,279.5943,278.3815,275.10788,273.51117,272.66296,272.89835,-13.792275,67.541705
"201",0,-1729,12.2074,10.68148,13.73333,24.87259,233.77179,236.97624,0.43473,0.9564,0.29268,1.04057,0.39966,0.28544,280.25302,279.40192,276.01331,273.73276,272.71948,272.88272,-12.292335,67.541705
"202",0,-1695,12.2074,10.68148,13.73333,25.33036,234.22957,242.77475,0.48424,0.79316,0.35442,0.99377,0.41048,0.2924,280.27646,279.45563,276.1102,273.74506,272.74005,272.89941,-12.209005,67.541705
"203",0,-1673,12.2074,10.68148,13.73333,25.48296,236.67105,252.54068,0.46343,0.78596,0.46245,1.0133,0.43211,0.28156,280.29968,279.50589,276.20038,273.75803,272.76096,272.92053,-12.125675,67.541705
"204",0,-302,12.51259,10.52889,10.52889,11.59703,20.29481,38.45332,0.32706,,,,,,275.62354,,,,,,-27.958375,67.458375
"205",0,-663,12.66518,10.52889,10.52889,12.05481,20.75259,40.13184,0.44028,0.33676,,,,,275.53659,275.76862,,,,,-26.041785,67.458375
"206",0,-702,12.51259,11.59703,10.52889,14.19111,12.2074,17.24296,1.20931,0.31214,1.69699,0.99074,0.22294,0.15179,278.31641,278.09702,,,,274.11032,-23.708545,67.458375
"207",0,-558,10.83407,10.68148,11.74963,12.2074,19.68444,162.20589,1.07583,0.39871,0.76766,0.9257,0.25305,,278.9762,278.82227,276.71896,277.42618,275.22028,275.52441,-21.791955,67.458375
"208",0,-568,10.98666,10.52889,12.36,12.97037,21.51555,162.35847,1.00953,0.36956,0.77945,0.93519,0.24814,0.19657,279.00937,278.88788,276.75217,277.16235,275.20871,275.24594,-21.708625,67.458375
"209",0,-577,11.13926,10.52889,12.66518,13.58074,22.73629,161.74811,0.93313,0.35086,0.77824,1.01281,0.24293,0.16548,279.06122,278.97284,276.78323,276.79352,275.21225,274.91537,-21.625295,67.458375
"210",0,-578,11.13926,10.68148,12.97037,14.03852,23.19407,159.91699,0.90275,0.34021,0.78889,1.23575,0.25417,0.19135,279.11221,279.06665,276.9075,276.42154,275.22269,274.64008,-21.541965,67.458375
"211",0,-569,11.29185,10.83407,13.12296,14.49629,23.04148,154.27107,0.91616,0.32813,0.71391,1.19415,0.24638,0.17361,279.15942,279.16666,277.03766,276.08289,275.22717,274.44611,-21.458635,67.458375
"212",0,-563,11.44444,10.98666,13.27555,14.80148,22.5837,143.437,0.95061,0.31956,0.62005,1.18236,0.24983,0.17029,279.19543,279.25269,277.19275,275.80524,275.25278,274.38092,-21.375305,67.458375
"213",0,-544,11.44444,10.98666,13.42814,15.10666,22.4311,135.04442,0.98853,0.37732,0.52583,1.0919,0.24845,0.18227,279.21704,279.31259,277.32544,275.56506,275.22366,274.42798,-21.291975,67.458375
"214",0,-416,11.90222,12.2074,15.86963,27.61925,132.60294,213.78217,1.13033,0.42021,0.38384,1.41439,0.2488,0.22108,280.42493,280.03867,277.73062,276.43268,275.1683,275.61575,-18.958735,67.458375
"215",0,-919,11.59703,11.29185,13.58074,14.19111,160.0696,195.77625,0.53761,0.42498,0.69202,0.55443,0.27139,0.24475,279.49728,278.35406,276.52087,275.29581,274.69095,274.34741,-17.958775,67.458375
"216",0,-831,10.98666,10.83407,14.19111,21.51555,128.9407,114.29182,0.75483,0.45431,0.95558,0.26447,0.25107,0.25955,279.93085,278.68973,276.52972,274.60422,274.42401,274.79773,-16.708825,67.458375
"217",0,-764,11.29185,10.83407,15.41185,22.5837,117.49627,152.13478,0.83064,0.54179,0.90561,0.47199,0.26856,0.25204,280.93951,279.84857,276.98523,275.51221,274.33691,275.16034,-15.625535,67.458375
"218",0,-1069,11.44444,10.83407,14.80148,23.80444,88.04591,104.98368,0.5484,0.23271,0.43376,0.38915,0.25555,0.23894,280.16684,279.1611,275.54877,273.99725,273.30502,273.5549,-14.208925,67.458375
"219",0,-1123,11.59703,10.68148,14.80148,23.04148,84.53628,97.20145,0.5194,0.22476,0.3688,0.36835,0.27703,0.26152,280.06949,278.95993,275.41589,273.89682,273.19974,273.42896,-14.125595,67.458375
"220",0,-1151,11.59703,10.68148,14.80148,22.5837,81.9422,90.79257,0.48427,0.22369,0.34575,0.4745,0.32092,0.31344,279.96399,278.78421,275.30234,273.80362,273.10403,273.33078,-14.042265,67.458375
"221",0,-1660,12.81777,10.68148,13.42814,25.17777,216.52884,220.19106,0.44976,0.41633,0.46938,0.93885,0.37942,0.26542,280.36038,279.55914,276.35907,273.88971,272.9357,272.98547,-12.042345,67.458375
"222",0,-303,12.05481,10.52889,10.52889,11.44444,21.51555,31.28147,0.33942,0.32123,,,,,275.51944,,,,,,-27.875045,67.375045
"223",0,-307,12.2074,10.52889,10.52889,11.59703,21.21037,28.22962,0.34202,0.30589,,,,,275.52417,,,,,,-27.791715,67.375045
"224",0,-738,12.51259,10.52889,10.52889,12.51259,19.68444,44.09925,0.3577,0.30798,,,,,275.52844,275.72809,,,,,-26.125115,67.375045
"225",0,-588,11.74963,11.59703,10.52889,16.78518,14.03852,30.21333,1.90315,0.29142,0.44309,1.08785,0.23958,,278.35202,277.85281,,276.36908,,275.11023,-23.708545,67.375045
"226",0,-453,11.44444,11.74963,11.29185,14.03852,61.64739,108.6459,1.34569,0.3959,0.65255,0.84423,0.25178,0.17397,278.73337,278.45959,277.04181,277.76666,275.93097,275.76495,-21.875285,67.375045
"227",0,-461,11.13926,11.59703,11.29185,13.88592,58.44295,113.98664,1.40411,0.41135,0.66978,0.76837,0.24762,0.18066,278.79544,278.49405,276.98364,277.67194,275.88678,275.61383,-21.791955,67.375045
"228",0,-348,10.98666,10.83407,12.2074,16.02222,47.30369,128.33034,1.85207,0.40072,0.71265,0.9042,0.233,0.19618,279.14771,278.77676,277.4747,276.72208,275.78659,274.79642,-21.375305,67.375045
"229",0,-346,10.98666,10.83407,12.51259,16.63259,50.66073,126.49923,1.73357,0.40961,0.69723,0.962,0.23866,0.20312,279.17828,278.83374,277.60718,276.57834,275.75925,274.82004,-21.291975,67.375045
"230",0,-331,10.98666,10.98666,12.66518,17.09037,56.00147,124.82071,1.666,0.3946,0.61354,1.00371,0.2415,0.23524,279.19037,278.8765,277.7009,276.47913,275.73828,274.88544,-21.208645,67.375045
"231",0,-327,11.13926,11.13926,12.81777,17.54814,65.15702,122.68442,1.6685,0.39056,0.66363,1.02049,0.2391,0.25282,279.18152,278.91708,277.76251,276.36584,275.715,275.01971,-21.125315,67.375045
"232",0,-901,11.44444,11.29185,13.88592,14.49629,171.05626,197.45477,0.68242,0.43252,0.73619,0.26745,0.26488,0.23189,279.57428,278.55908,276.7124,275.39999,274.87317,274.53223,-17.958775,67.375045
"233",0,-768,10.98666,10.83407,14.03852,21.05777,165.56293,146.18367,0.78292,0.45127,1.10333,0.26166,0.25073,0.25981,280.04202,279.27213,276.6795,274.90826,274.66815,275.00711,-16.708825,67.375045
"234",1,-610,11.74963,11.13926,15.10666,25.33036,114.7496,193.18217,0.89845,0.50808,0.66245,0.88916,0.27325,0.25293,281.16464,280.51941,277.38907,275.75998,274.62155,275.40176,-15.458875,67.375045
"235",0,-611,11.90222,11.13926,15.25926,25.63555,105.44145,183.26366,0.92464,0.51826,0.62621,0.75555,0.28425,0.26404,281.15842,280.48703,277.35095,275.78647,274.60974,275.39609,-15.375545,67.375045
"236",1,-921,11.59703,10.98666,16.02222,24.26222,86.82516,126.04145,0.81112,0.43516,0.57075,0.35312,0.3012,0.24154,280.69266,280.14975,276.59659,275.25165,274.3855,274.72122,-14.625575,67.375045
"237",0,-927,11.44444,10.98666,15.86963,23.95703,87.28294,124.36293,0.892,0.42136,0.49892,0.34501,0.26632,0.25375,280.65427,280.13956,276.4624,275.11765,274.32013,274.52344,-14.542245,67.375045
"238",0,-954,11.29185,10.98666,15.25926,23.34666,86.36739,124.82071,0.89674,0.38955,0.45318,0.34337,0.24552,0.25683,280.61212,280.09857,276.32956,274.98108,274.24512,274.31662,-14.458915,67.375045
"239",1,-999,11.29185,10.98666,14.80148,22.73629,85.14664,124.9733,0.85689,0.36533,0.44593,0.35152,0.24695,0.25632,280.56522,280.00623,276.18631,274.83215,274.16296,274.10983,-14.375585,67.375045
"240",0,-1003,11.29185,10.98666,14.64889,22.27851,84.38368,121.46368,0.75441,0.35073,0.44819,0.37474,0.24619,0.25815,280.50958,279.85709,276.04031,274.66879,274.06653,273.92715,-14.292255,67.375045
"241",0,-1588,12.97037,10.68148,13.42814,24.5674,195.62366,163.42662,0.46679,0.36138,0.53306,0.77476,0.37027,0.24599,280.36356,279.70117,276.42877,274.04718,273.11172,273.03448,-11.959015,67.375045
"242",0,-1582,12.97037,10.68148,13.42814,24.71999,192.57181,172.1244,0.48328,0.37345,0.5859,0.82294,0.39422,0.24621,280.38895,279.74323,276.43927,274.0683,273.11526,273.05106,-11.875685,67.375045
"243",0,-1590,12.97037,10.68148,13.42814,24.87259,188.14662,181.27995,0.42734,0.3966,0.62218,0.83595,0.45632,0.24605,280.41739,279.7811,276.44031,274.08469,273.11887,273.06799,-11.792355,67.375045
"244",0,-764,12.36,10.52889,10.52889,12.51259,20.14222,43.79406,0.34809,0.37011,,,,,275.41016,275.5882,,,,,-26.125115,67.291715
"245",0,-423,10.98666,11.29185,10.98666,16.17481,33.57036,59.81628,2.26963,0.30383,0.55624,1.02474,0.22895,,278.24008,277.63437,276.40955,277.2905,,277.33157,-23.625215,67.291715
"246",0,-381,11.90222,12.05481,12.51259,16.48,131.38219,121.31108,1.282,0.4728,0.71851,0.83952,0.2488,0.21622,278.34891,278.22226,277.35876,277.53033,276.8645,276.01315,-21.958615,67.291715
"247",0,-296,11.29185,11.90222,11.90222,17.70074,155.33922,120.8533,2.03721,0.49625,0.73551,0.69757,0.22821,0.20751,279.17026,278.27225,277.82587,277.68481,276.15866,275.37473,-21.291975,67.291715
"248",0,-289,11.13926,11.90222,11.90222,18.4637,168.00441,116.73331,1.60634,0.38901,0.65497,0.77789,0.246,0.20163,279.10431,278.53085,277.89163,277.31415,276.0394,275.45035,-21.041985,67.291715
"249",0,-276,11.29185,11.90222,11.90222,18.92148,169.37773,117.64886,1.63148,0.38256,0.63247,0.84963,0.24457,0.19027,279.01627,278.66586,277.8707,277.14359,275.98984,275.51013,-20.958655,67.291715
"250",0,-275,11.29185,11.90222,12.05481,19.37926,170.29329,119.63256,1.62907,0.42116,0.64051,0.96361,0.24346,0.18558,278.94455,278.80682,277.86188,276.98798,275.94647,275.56595,-20.875325,67.291715
"251",0,-279,11.29185,11.90222,12.05481,19.98962,171.51404,122.68442,1.89015,0.47646,0.51475,0.94456,0.24088,0.19735,278.89618,278.94138,277.86249,276.85367,275.90262,275.61298,-20.791995,67.291715
"252",0,-477,12.2074,12.05481,18.76888,29.29777,194.25032,254.98216,0.96476,0.44272,0.47006,1.89277,0.3091,0.24521,280.61218,280.39139,278.00653,276.56604,275.41891,275.91202,-18.958735,67.291715
"253",0,-757,11.90222,11.59703,14.03852,14.95407,150.15108,192.11403,0.61787,0.43851,0.57642,0.58856,0.24598,0.26085,279.60718,278.77347,276.84427,275.68619,275.04474,274.8349,-18.042105,67.291715
"254",0,-638,11.29185,10.98666,13.88592,20.75259,159.61182,195.77625,0.74418,0.61853,0.86758,0.32214,0.2388,0.26489,280.30081,279.9025,276.75287,275.23849,274.89185,275.23547,-16.708825,67.291715
"255",0,-356,13.27555,11.59703,15.10666,28.38222,137.18071,215.30809,0.94742,0.56321,0.50942,1.39494,0.28902,0.27107,281.26334,280.98633,277.66428,276.0618,274.8862,275.56155,-15.292215,67.291715
"256",0,-374,13.12296,11.59703,15.10666,28.22962,127.41478,208.8992,0.9381,0.58984,0.57909,1.42552,0.28055,0.26178,281.21191,280.91733,277.62662,276.08209,274.85825,275.54779,-15.208885,67.291715
"257",0,-550,12.51259,11.44444,15.41185,27.00888,91.55553,177.31255,0.74439,0.62402,0.73199,0.94538,0.27271,0.2749,280.96591,280.61685,277.36035,275.99326,274.82602,275.41812,-14.875565,67.291715
"258",0,-614,12.36,11.44444,15.41185,26.39851,86.36739,170.44588,0.76023,0.61326,0.69574,0.84461,0.27055,0.27791,280.91776,280.58228,277.2522,275.92825,274.83606,275.33841,-14.792235,67.291715
"259",0,-632,12.36,11.29185,15.41185,25.78814,84.99406,161.9007,0.77223,0.57932,0.77385,0.73577,0.28574,0.27672,280.87897,280.56876,277.13782,275.85431,274.84543,275.22849,-14.708905,67.291715
"260",1,-668,12.51259,11.29185,15.56444,25.33036,81.9422,156.71255,0.80821,0.56166,0.9035,0.5388,0.29795,0.27516,280.84592,280.57504,277.03165,275.77188,274.84488,275.07962,-14.625575,67.291715
"261",0,-1557,12.81777,10.68148,13.27555,23.65185,144.50514,118.10664,0.44552,0.40923,0.63391,0.62959,0.3686,0.26607,280.35007,279.94131,276.51785,274.24026,273.19644,273.10089,-11.709025,67.291715
"262",0,-1563,12.81777,10.68148,13.27555,23.65185,140.07997,119.02219,0.44806,0.439,0.789,0.57624,0.3691,0.26826,280.39066,279.96185,276.52982,274.25983,273.19162,273.12585,-11.625695,67.291715
"263",0,-721,12.66518,10.52889,10.52889,12.97037,21.82074,39.52147,0.3613,0.32154,,0.38165,,,275.38736,275.47281,,,,,-26.208445,67.208385
"264",0,-267,13.42814,13.12296,14.19111,31.43407,200.50662,145.87848,1.56673,0.56799,0.69879,0.75296,0.25187,0.22308,279.11649,278.38467,277.99866,278.12814,276.28314,275.85141,-21.291975,67.208385
"265",0,-266,12.51259,12.51259,13.42814,30.6711,204.47403,151.21922,1.18691,0.51206,0.68274,0.97221,0.26359,0.2167,278.85236,279.17691,277.87854,277.67542,276.01965,275.91577,-20.791995,67.208385
"266",0,-247,12.36,12.36,13.42814,30.51851,209.50958,153.20293,1.26912,0.5216,0.67147,1.05299,0.25279,0.21853,278.83923,279.26282,277.86176,277.63611,276.02524,275.93109,-20.708665,67.208385
